Measure Names,Year,Avg_Suicides_per_100K_Pop
Avg. Suicides_per_100K_Pop,1985,11.826197917
Avg. Suicides_per_100K_Pop,1986,11.423333333
Avg. Suicides_per_100K_Pop,1987,11.644212963
Avg. Suicides_per_100K_Pop,1988,12.709404762
Avg. Suicides_per_100K_Pop,1989,12.879070513
Avg. Suicides_per_100K_Pop,1990,12.862955729
Avg. Suicides_per_100K_Pop,1991,13.438880208
Avg. Suicides_per_100K_Pop,1992,13.498564103
Avg. Suicides_per_100K_Pop,1993,13.833705128
Avg. Suicides_per_100K_Pop,1994,14.073272059
Avg. Suicides_per_100K_Pop,1995,15.662670940
Avg. Suicides_per_100K_Pop,1996,15.305422078
Avg. Suicides_per_100K_Pop,1997,14.954361472
Avg. Suicides_per_100K_Pop,1998,14.926919831
Avg. Suicides_per_100K_Pop,1999,14.532038153
Avg. Suicides_per_100K_Pop,2000,13.941327519
Avg. Suicides_per_100K_Pop,2001,13.519138258
Avg. Suicides_per_100K_Pop,2002,13.786550388
Avg. Suicides_per_100K_Pop,2003,13.205019380
Avg. Suicides_per_100K_Pop,2004,12.481944444
Avg. Suicides_per_100K_Pop,2005,12.068442460
Avg. Suicides_per_100K_Pop,2006,11.927460784
Avg. Suicides_per_100K_Pop,2007,12.025339147
Avg. Suicides_per_100K_Pop,2008,11.907686275
Avg. Suicides_per_100K_Pop,2009,11.400786517
Avg. Suicides_per_100K_Pop,2010,11.215899621
Avg. Suicides_per_100K_Pop,2011,11.015348837
Avg. Suicides_per_100K_Pop,2012,11.421718107
Avg. Suicides_per_100K_Pop,2013,11.107958333
Avg. Suicides_per_100K_Pop,2014,11.011463675
Avg. Suicides_per_100K_Pop,2015,11.094072581
Avg. Suicides_per_100K_Pop,2016,13.4211875
